Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count
1612,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,MeCN,58.640945906875,17758396.0
1613,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,MeCN,49.7935499750216,2001913.625
1614,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,MeCN,95.3552855834076,16679042.0
1615,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,MeCN,70.7687000172672,3525511.0
1616,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,MeCN,47.9238613129255,10486463.0
1617,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,MeCN,61.6098836618289,2868137.5
1618,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,MeCN,12.8766493290114,8974897.0
1619,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,MeCN,15.8640250029994,762089.0625
1620,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,Et3N,2.5,MeCN,26.7970899225477,10160014.0
1621,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,,2.5,MeCN,80.9928949729777,3927785.5
1622,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,,2.5,MeCN,86.6255245271108,22582318.0
1623,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,,2.5,MeCN,89.0208973919671,4224897.5
1624,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,,2.5,MeCN,44.8155382456777,11450795.0
1625,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,,2.5,MeCN,52.3945171380442,2425041.75
1626,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,,2.5,MeCN,97.2495656938971,19028356.0
1627,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,,2.5,MeCN,61.6773872518736,2873466.5
1628,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,,2.5,MeCN,40.607308841199,7412561.0
1629,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,,2.5,MeCN,49.4815240453717,2020857.875
1630,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,,2.5,MeCN,15.8835584007231,12206543.0
1631,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,,2.5,MeCN,8.5217315255686,447639.34375
1632,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,,2.5,MeCN,26.4876725518377,9582168.0
1633,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,THF,31.4522898893397,1506604.0
1634,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,THF,92.889533960699,27222580.0
1635,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,THF,23.1972852202628,1141436.125
1636,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,THF,66.2454444128696,17158398.0
1637,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,THF,32.2949518917565,1527131.875
1638,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,THF,26.795339642649,5446783.0
1639,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,THF,90.9449375555629,5502791.0
1640,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,THF,65.5825588187851,13743674.0
1641,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,THF,89.9999615029945,5110206.0
1642,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,THF,6.38003592399953,5196786.0
1643,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,THF,54.1350738056367,3109429.75
1644,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,NaOH,2.5,THF,40.0786505833032,13557370.0
1645,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,THF,35.0997785045198,1733809.625
1646,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,THF,96.1622793545416,30941186.0
1647,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,THF,22.1938305525881,1244267.875
1648,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,THF,95.2866788864685,27168002.0
1649,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,THF,16.7158994806734,942480.625
1650,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,THF,30.066263849003,6675445.0
1651,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,THF,76.3741942586495,4268873.0
1652,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,THF,58.0136687307058,14812898.0
1653,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,THF,80.9606671312747,4863325.5
1654,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,THF,14.138821291907,10767332.0
1655,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,THF,16.7673024035108,1102538.5
1656,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,NaHCO3,2.5,THF,29.3963782371383,11510415.0
1657,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,THF,17.4831506250365,692199.1875
1658,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,THF,85.8228318573989,25756924.0
1659,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,THF,19.1108904724288,1047778.75
1660,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,THF,94.9963250182257,27956920.0
1661,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,THF,22.6507182232499,1328654.0
1662,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,THF,37.6866323582564,8284892.5
1663,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,THF,53.2291394750904,2946576.25
1664,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,THF,51.1293642445377,12319710.0
1665,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,THF,70.5068421279761,4046734.0
1666,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,THF,69.0917820500898,15593590.0
1667,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,THF,12.0576195929311,838811.6875
1668,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,CsF,2.5,THF,21.1102760439389,7098674.0
1669,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,THF,21.4424225089512,1298469.5
1670,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,THF,83.612594167887,26143226.0
1671,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,THF,29.8566209569868,1526407.125
1672,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,THF,77.5912804233638,23789064.0
1673,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,THF,20.3524328828996,1175873.0
1674,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,THF,31.6934060437886,7241506.5
1675,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,THF,55.0741782679718,2985342.0
1676,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,THF,54.9521596332503,11921065.0
1677,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,THF,65.7963337255518,3551089.0
1678,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,K3PO4,2.5,THF,12.5364994109969,8143929.5
1679,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,K3PO4,2.5,THF,10.9748204883925,891493.25
1680,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,K3PO4,2.5,THF,29.2598147809964,10294901.0
1681,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,KOH,2.5,THF,37.3100853235787,1650805.875
1682,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,KOH,2.5,THF,90.7496609075897,25953378.0
1683,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,KOH,2.5,THF,23.7712415718316,1144794.625
1684,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,KOH,2.5,THF,75.0155939023614,22811378.0
1685,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,KOH,2.5,THF,33.9210947845839,1961079.875
1686,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,KOH,2.5,THF,23.2214655862868,4056976.0
1687,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,KOH,2.5,THF,82.3075352644986,4309489.0
1688,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,KOH,2.5,THF,64.353004166667,15293629.0
1689,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,KOH,2.5,THF,84.3449496355327,4910547.5
1690,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,KOH,2.5,THF,9.25174730363101,4803537.0
1691,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,KOH,2.5,THF,43.2963546934232,2621809.75
1692,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,KOH,2.5,THF,46.9105641321907,16430633.0
1693,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,LiOtBu,2.5,THF,38.8824045021113,2019605.875
1694,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,LiOtBu,2.5,THF,94.449621217418,29667678.0
1695,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,LiOtBu,2.5,THF,20.5132302231248,1092574.375
1696,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,LiOtBu,2.5,THF,79.1043411958871,23962614.0
1697,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,LiOtBu,2.5,THF,30.2905859938007,1427431.5
1698,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,LiOtBu,2.5,THF,18.5495815258272,3240164.0
1699,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,LiOtBu,2.5,THF,94.2656985182625,5393727.0
1700,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,LiOtBu,2.5,THF,57.3866884073415,14823349.0
1701,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,LiOtBu,2.5,THF,93.606893609443,5451300.5
1702,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,LiOtBu,2.5,THF,33.5312057497017,6941392.0
1703,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,LiOtBu,2.5,THF,48.9053938479338,2938223.25
1704,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,LiOtBu,2.5,THF,46.5915446149973,16135383.0
1705,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,THF,37.7963795153632,2049699.75
1706,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,THF,96.0192350813869,30387574.0
1707,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,THF,15.0531754577844,763297.8125
1708,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,THF,73.2668876390455,21757338.0
1709,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,THF,35.3231416019895,2209178.0
1710,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,THF,28.8593243155484,6571882.0
1711,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,THF,95.0609493152231,5462145.0
1712,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,THF,57.2514742086903,15298195.0
1713,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,THF,91.6976801673678,5855840.5
1714,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,THF,8.73547513596425,5305631.5
1715,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,THF,44.4177808130703,2768792.75
1716,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,Et3N,2.5,THF,43.2714310577919,15679422.0
1717,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,,2.5,THF,39.9117372671661,2225559.75
1718,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,,2.5,THF,96.1461333003187,29006816.0
1719,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,,2.5,THF,25.9658318424576,1618921.75
1720,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,,2.5,THF,94.3048446792551,28578316.0
1721,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,,2.5,THF,25.4790723003758,1353014.625
1722,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,,2.5,THF,26.3131455002272,5646889.0
1723,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,,2.5,THF,82.2413526625027,4713323.5
1724,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,,2.5,THF,60.2014070631786,14276764.0
1725,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,,2.5,THF,81.880979089443,5038834.5
1726,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,,2.5,THF,16.6049628933958,12705058.0
1727,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,,2.5,THF,21.4581819379207,1529838.625
1728,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,,2.5,THF,34.1556744446873,11818527.0
1729,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,DMF,52.8703389987893,2702419.0
1730,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,DMF,71.4136881312888,15721479.0
1731,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,DMF,43.5355809991752,1982755.0
1732,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,DMF,54.6781378903793,13617631.0
1733,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,DMF,29.2018796736577,282315.375
1734,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,DMF,23.2854035152769,588691.875
1735,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,DMF,70.6321103481065,262298.6875
1736,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,DMF,40.8648169742733,1389124.375
1737,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,DMF,68.9225985088905,1903996.125
1738,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,DMF,4.68375633431901,1931275.5
1739,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,DMF,24.9744723580533,1040304.25
1740,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,,,NaOH,2.5,DMF,28.4812368020202,7605996.0
1741,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,DMF,22.7979134555778,853099.5
1742,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,DMF,90.9901316585558,20607580.0
1743,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,DMF,46.1716126737958,2003370.75
1744,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,DMF,60.2510112423356,13636926.0
1745,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,DMF,31.4535470200849,1368584.875
1746,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,DMF,68.3124557073936,11905629.0
1747,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,DMF,66.3450315049921,3312754.5
1748,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,DMF,38.5070027645484,5745594.0
1749,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,DMF,52.6271709938845,2289164.75
1750,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2b, Boronic Ester",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,DMF,13.1162954921524,10200992.0
