mol_name,E_HOMO,E_LUMO,V10_frequency,V10_intensity,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,chelpg_max,chelpg_mean,chelpg_min,chelpg_std,electronegativity,gap,hardness,mulliken_max,mulliken_mean,mulliken_min,mulliken_std,smiles
Aldehyde_2_5,-7.275,-2.3441,724.75,31.07,0.182114,0.040946,116.44,9.79,216.06,13.43,235.7,7.71,398.31,1.88,443.36,0.81,461.3,0.11,632.47,3.33,686.02,18.54,0.507296,6.66666666692776e-08,-0.639265,0.2465806914075591,4.80955,4.9309,2.46545,0.149747,-3.333333333325102e-08,-0.271861,0.09151468998396334,
Aldehyde_1_4,-7.5652,-2.5416,398.64,1.76,0.08927,0.014121,13.35,0.63,69.9,3.58,140.21,4.8,149.48,5.05,236.75,2.25,239.98,3.65,293.91,7.55,375.28,3.76,0.572924,6.666666666684899e-08,-0.429495,0.18103852043236607,5.0534,5.0236,2.5118,0.519093,-6.938893903907229e-19,-0.264126,0.14790265283741474,
Aldehyde_2_57,-7.0956,-2.1795,385.91,0.18,0.057339,0.018875,96.94,4.17,151.38,4.25,177.84,7.86,210.77,3.37,279.58,2.76,290.45,5.8,311.06,3.66,366.48,0.07,0.43673,6.666666666710919e-08,-0.50205,0.23062414035229872,4.63755,4.9161,2.45805,0.374648,1.3877787807814458e-18,-0.360439,0.17023845431932963,
Aldehyde_1_48,-6.5177,-2.3099,421.76,6.42,0.038087,0.015262,84.49,5.6,106.25,2.13,138.59,0.98,193.23,5.59,210.51,2.57,276.17,4.68,341.54,0.89,380.5,0.4,0.455647,2.262368533253086e-18,-0.476089,0.1915326937609095,4.4138,4.2078,2.1039,0.349751,-6.666666666653096e-08,-0.286396,0.13276890685411544,
Aldehyde_2_40,-7.0692,-1.8641,497.0,17.7,0.168016,0.027616,30.23,0.21,94.99,1.52,179.63,9.47,196.42,6.54,311.64,0.5,348.0,1.72,411.75,1.11,422.58,0.16,0.421367,3.333333333457736e-08,-0.564954,0.2077480827057025,4.4666500000000005,5.2051,2.60255,0.156089,-4.625929269271486e-19,-0.353065,0.12437212660288534,
Aldehyde_1_47,-7.4908,-2.89,351.36,27.63,0.064984,0.016927,51.24,1.02,71.75,6.7,120.79,3.25,176.86,2.25,185.56,7.97,264.5,0.3,267.83,4.3,340.13,68.24,0.76022,0.0,-0.44128,0.2453345954732027,5.1904,4.6008,2.3004,0.402589,-6.938893903907229e-19,-0.328188,0.16062584520512901,
Aldehyde_1_44,-7.0603,-1.8676,293.88,1.21,0.092123,0.012735,39.06,0.55,53.92,0.42,69.88,0.42,126.89,4.43,193.64,6.04,202.19,5.36,227.54,0.18,246.19,0.05,0.653175,-6.666666666875719e-08,-0.5506,0.2645345936840428,4.46395,5.1927,2.59635,0.204147,-3.333333333478336e-08,-0.354476,0.15448228158002866,
Aldehyde_1_5,-7.385,-2.563,301.09,4.12,0.103347,0.012822,50.75,3.19,67.47,1.83,125.04,7.08,127.4,3.07,142.48,2.13,182.93,0.15,225.56,10.64,297.34,6.63,0.738393,-9.999999999732446e-08,-0.535843,0.23185917264036032,4.974,4.821999999999999,2.4109999999999996,0.350297,-3.333333333244148e-08,-0.327855,0.14894098359150765,
Aldehyde_2_8,-6.9814,-1.3391,674.98,9.61,0.240812,0.036134,67.37,0.03,112.51,2.32,174.53,3.5,227.26,9.28,285.83,0.04,360.44,6.58,487.19,2.4,627.09,10.15,0.646209,-2.6599093298311044e-18,-0.580327,0.25096643532332474,4.16025,5.6423,2.82115,0.14664,1.0119220276531375e-18,-0.287844,0.10541276212273744,
Aldehyde_2_9,-6.9883,-0.8197,382.7,0.35,0.107513,0.043503,73.53,2.51,94.99,2.46,103.1,2.55,196.71,0.91,210.3,1.67,246.68,0.9,277.43,0.15,311.67,5.56,0.313198,-3.333333333439124e-08,-0.423994,0.155459323254866,3.904,6.1686,3.0843,0.131173,-1.8503717077085942e-18,-0.3647,0.130923078033077,
Aldehyde_2_56,-6.6339,-1.9863,370.06,0.08,0.045651,0.015648,96.28,4.55,126.0,0.25,168.63,8.36,209.44,8.46,240.1,0.54,247.02,4.7,323.58,13.8,344.05,72.31,0.421298,3.33333333346388e-08,-0.517392,0.22938864306921733,4.3101,4.6476,2.3238,0.317077,-1.0000000000010001e-07,-0.375706,0.17112595558733723,
Aldehyde_1_8,-6.7503,-2.3156,421.65,1.8,0.090936,0.009467,57.84,0.07,127.05,1.0,127.31,8.06,191.29,1.57,228.47,10.62,292.59,3.96,309.0,2.18,408.31,2.6,0.736397,3.3333333329897226e-08,-0.586523,0.27234144230922297,4.53295,4.4347,2.21735,0.226037,3.333333333244148e-08,-0.276098,0.13050296038166398,
Aldehyde_2_46,-7.385,-2.563,301.09,4.12,0.103347,0.012822,50.75,3.19,67.47,1.83,125.04,7.08,127.4,3.07,142.48,2.13,182.93,0.15,225.56,10.64,297.34,6.63,0.738393,-9.999999999732446e-08,-0.535843,0.23185917264036032,4.974,4.821999999999999,2.4109999999999996,0.350297,-3.333333333244148e-08,-0.327855,0.14894098359150765,
Aldehyde_1_43,-6.0944,-2.0054,331.04,0.01,0.046738,0.011836,58.91,3.66,85.46,0.8,134.49,2.44,155.76,7.21,184.91,5.4,200.37,1.35,235.0,0.49,289.4,1.67,0.477672,-4.625929269271486e-19,-0.490616,0.2366636237733151,4.0499,4.089,2.0445,0.22506,6.666666666742722e-08,-0.313928,0.14594547932513594,
Aldehyde_2_48,-6.4878,-2.1264,488.67,19.02,0.094244,0.016096,79.66,1.83,161.35,4.49,179.31,6.46,191.85,5.58,299.14,3.22,351.65,2.49,395.1,6.96,402.95,0.01,0.382096,-6.666666666603945e-08,-0.468541,0.20692609141645707,4.3071,4.3614,2.1807,0.160581,-6.666666666418908e-08,-0.27759,0.12175864072741821,
Aldehyde_2_55,-5.8034,-1.4631,236.2,0.76,0.069514,0.016184,40.36,0.0,60.43,0.03,79.52,0.04,96.65,0.17,148.22,0.88,155.31,11.14,205.57,4.36,221.55,4.15,0.574751,-3.333333333197889e-08,-0.566739,0.2638796819114509,3.63325,4.3403,2.17015,0.216612,-3.333333333498574e-08,-0.321294,0.14620394183574256,
Aldehyde_1_42,-5.618,-1.2691,305.08,1.24,0.096841,0.010845,46.54,0.05,92.32,1.55,109.0,0.74,134.02,2.33,159.8,5.38,206.89,2.07,228.69,4.67,250.42,0.27,0.349308,0.0,-0.473729,0.14355947659828108,3.44355,4.3489,2.17445,0.222525,3.333333333197889e-08,-0.305325,0.13760344934416668,
Aldehyde_1_45,-6.1195,-1.2391,434.03,1.86,0.049443,0.017608,57.35,0.19,103.74,3.59,133.31,7.48,148.16,7.82,196.54,3.19,296.2,0.05,317.96,0.13,353.1,0.14,0.426704,3.33333333328318e-08,-0.528319,0.24977801346871617,3.6793000000000005,4.8804,2.4402,0.21801,-3.333333333073567e-08,-0.368509,0.1521012591567467,
Aldehyde_2_52,-6.3245,-1.6562,400.4,15.03,0.089175,0.015917,74.82,0.01,127.8,14.21,149.53,1.12,180.39,3.92,256.54,3.6,322.54,4.26,350.05,3.12,366.55,2.28,0.411309,1.1275702593849246e-18,-0.475128,0.2132540924985481,3.99035,4.6682999999999995,2.3341499999999997,0.213836,-9.251858538542971e-19,-0.284734,0.14309354241315303,
Aldehyde_2_60,-6.2584,-1.5965,301.17,2.31,0.06328,0.014269,64.37,2.46,73.43,1.88,111.69,0.15,122.23,6.17,129.24,2.91,154.13,9.02,213.51,8.06,228.57,12.44,0.581874,1.1564823173178713e-18,-0.608997,0.2590109552667742,3.92745,4.6619,2.33095,0.399096,-3.3333333332911306e-08,-0.363142,0.16616187960342674,
Aldehyde_2_47,-6.2968,-2.2262,400.24,1.49,0.068623,0.01809,93.6,3.93,109.54,0.74,136.58,2.57,177.83,3.59,210.05,9.62,284.5,10.51,299.32,0.01,326.87,0.01,0.578258,3.3333333332904074e-08,-0.643639,0.27361824584899597,4.2615,4.070600000000001,2.0353000000000003,0.165277,-3.333333333206563e-08,-0.308,0.13110014632872324,
Aldehyde_1_49,-6.593,-1.6431,338.86,5.99,0.090965,0.013834,42.16,0.34,63.83,0.22,99.69,3.65,127.1,0.17,182.2,5.49,186.46,4.0,261.16,0.16,277.15,4.5,0.3883,-2.594857199481974e-18,-0.497303,0.2106601189990399,4.11805,4.9498999999999995,2.4749499999999998,0.281993,-9.251858538542971e-19,-0.289207,0.14264253848670472,
Aldehyde_2_7,-6.6001,-2.3142,392.68,2.93,0.070306,0.017562,34.47,0.05,85.94,1.53,123.27,0.13,154.03,10.6,180.69,4.02,277.27,0.07,281.1,1.12,316.89,0.4,0.403598,-3.333333333573746e-08,-0.58769,0.2211740098380152,4.45715,4.2859,2.14295,0.22146,3.33333333339666e-08,-0.287325,0.12846412674938326,
Aldehyde_2_43,-7.0475,-1.8378,287.36,0.07,0.080841,0.014567,47.86,0.81,67.89,0.97,148.66,6.19,156.4,3.71,218.78,0.96,250.13,2.25,251.78,2.51,271.27,2.47,0.689494,3.3333333331285e-08,-0.52476,0.2600814708413478,4.44265,5.2097,2.60485,0.188742,3.333333333313537e-08,-0.381956,0.16902391328090813,
Aldehyde_2_44,-6.7503,-2.3156,421.65,1.8,0.090936,0.009467,57.84,0.07,127.05,1.0,127.31,8.06,191.29,1.57,228.47,10.62,292.59,3.96,309.0,2.18,408.31,2.6,0.736397,3.3333333329897226e-08,-0.586523,0.27234144230922297,4.53295,4.4347,2.21735,0.226037,3.333333333244148e-08,-0.276098,0.13050296038166398,
Aldehyde_2_49,-7.055,-1.8828,223.02,9.38,0.066351,0.009588,37.71,0.08,46.28,0.3,87.57,0.46,112.5,0.0,141.64,4.05,157.98,4.98,168.01,2.63,203.49,0.16,0.971293,-3.3333333336720467e-08,-0.628159,0.39182023239231073,4.4689,5.1722,2.5861,0.423876,-5.782411586589357e-20,-0.367416,0.1999284987477204,
Aldehyde_2_50,-6.6676,-1.9685,377.05,1.56,0.083418,0.0235,42.07,0.28,93.96,1.99,138.52,2.8,208.91,6.83,211.73,9.05,288.95,13.16,306.43,7.41,356.28,80.18,0.462156,3.3333333331516296e-08,-0.541753,0.26830313900839375,4.31805,4.6991000000000005,2.3495500000000002,0.303287,-3.3333333335679635e-08,-0.370423,0.1595420593201125,
Aldehyde_2_6,-6.9563,-2.6643,409.89,0.05,0.092425,0.009745,44.77,0.7,53.34,0.15,118.58,1.54,127.85,11.53,188.92,2.83,217.7,9.68,296.84,3.65,313.62,0.01,0.905853,3.3333333335882016e-08,-0.711207,0.3111626271725605,4.8103,4.292,2.146,0.252512,-3.333333333313537e-08,-0.270894,0.1278071802128674,
Aldehyde_2_53,-6.9561,-1.8572,241.47,0.92,0.040181,0.020509,30.95,0.12,50.95,0.22,68.62,0.23,125.62,0.81,147.26,4.37,177.29,8.69,184.29,6.39,225.32,4.11,0.53393,-3.333333332972375e-08,-0.534941,0.26106517633361653,4.40665,5.0989,2.54945,0.136019,-3.3333333331747596e-08,-0.371814,0.15315405460887016,
Aldehyde_2_45,-6.5966,-1.7604,298.68,6.88,0.053893,0.010441,31.41,0.4,74.43,0.21,103.05,0.78,104.11,1.43,143.68,11.62,174.71,4.1,225.97,0.48,241.87,3.31,0.448003,-6.666666666442038e-08,-0.523446,0.23795135647495533,4.1785,4.8362,2.4181,0.184502,-9.251858538542971e-19,-0.381268,0.14868539073678935,
Aldehyde_2_51,-6.6923,-1.6092,379.26,0.34,0.087093,0.016065,81.03,0.31,107.45,0.39,141.18,10.22,170.71,6.22,228.56,5.47,244.32,1.03,266.66,4.56,352.0,0.88,0.582816,-2.6960494022472877e-18,-0.606956,0.2520724773687671,4.15075,5.0831,2.54155,0.166414,-3.333333333429186e-08,-0.301254,0.13691777104587727,
Aldehyde_2_42,-6.8538,-1.542,280.25,1.59,0.063458,0.011507,48.48,0.54,63.27,0.55,96.19,1.43,139.02,9.17,146.76,1.65,197.69,8.56,239.81,3.13,269.57,1.66,0.469049,3.333333333221019e-08,-0.574288,0.24471643504458357,4.1979,5.3118,2.6559,0.187475,-3.3333333332557134e-08,-0.384784,0.15045037656007318,
Aldehyde_2_41,-7.1458,-2.4009,424.84,0.54,0.112906,0.011488,35.97,2.02,62.74,2.75,128.39,4.63,139.0,4.39,212.37,4.1,232.87,2.6,312.65,4.86,346.7,2.94,0.458908,3.333333333157412e-08,-0.585911,0.24028959693475666,4.773350000000001,4.7449,2.37245,0.167709,-1.3877787807814458e-18,-0.274907,0.1317292007252915,
Aldehyde_2_54,-6.4543,-2.0715,306.46,1.87,0.043947,0.015592,69.05,0.17,88.04,1.22,157.79,0.99,180.18,5.11,203.95,0.11,242.74,0.65,249.73,0.07,285.65,2.37,0.899002,-6.66666666695089e-08,-0.597195,0.33776385267305786,4.2629,4.3828,2.1914,0.33345,-3.3333333330475465e-08,-0.414078,0.1990627179852835,
Aldehyde_2_58,-6.7068,-0.8482,332.1,2.32,0.050664,0.0225,28.17,1.19,78.52,4.16,94.4,4.69,116.3,4.04,157.36,2.08,201.93,2.34,247.53,1.45,299.58,3.87,0.412779,1.4456028966473392e-20,-0.530841,0.19427945783844466,3.7775000000000003,5.8586,2.9293,0.167187,3.333333333406056e-08,-0.388972,0.14772593512416562,
bifunctional_reagent_5,-7.2619,-2.5532,104.24,2.49,0.018956,0.003158,9.62,0.05,19.06,0.21,20.49,0.81,28.65,2.28,44.32,0.14,57.66,1.83,64.04,0.27,98.35,1.52,0.981877,-0.0589635,-0.801487,0.4185960436096332,4.90755,4.7087,2.35435,0.48632,-0.0560696,-0.468914,0.2598265834656275,
Aldehyde_1_9,-6.8968,-1.7676,228.41,0.05,0.019412,0.008932,30.7,0.06,35.36,0.15,76.58,1.25,118.25,3.95,130.94,1.02,142.81,3.33,158.18,1.55,224.61,0.71,0.732926,-0.031811666666666676,-0.547289,0.36239128657983555,4.3322,5.1292,2.5646,0.264699,-0.030242199999999997,-0.385455,0.21699977379432037,
Aldehyde_2_4,-5.8902,-1.9316,287.86,9.67,0.06738,0.007718,26.35,1.92,40.21,0.06,60.75,1.36,107.46,1.66,138.37,2.38,177.94,7.92,196.51,3.24,220.18,1.22,0.399976,-6.66666666645071e-08,-0.462025,0.1907436155599761,3.9109,3.9586,1.9793,0.1314,3.333333333070676e-08,-0.317954,0.13687123627966172,
bifunctional_reagent_1,-7.3342,-2.6299,108.24,2.65,0.020114,0.003995,14.37,0.07,17.28,0.33,22.9,0.18,38.25,1.37,48.83,0.64,65.33,1.02,88.73,0.75,103.54,1.94,0.951642,-0.0325375,-0.732339,0.3776113297542082,4.98205,4.7043,2.35215,0.473003,-0.0328069,-0.467479,0.23743601545423298,
Aldehyde_2_59,-5.3165,-1.1669,319.48,1.09,0.068597,0.013258,35.45,3.09,64.61,0.87,75.36,3.87,104.33,9.79,150.99,0.95,167.3,0.29,229.12,1.03,282.21,8.01,0.320415,-2.312964634635743e-19,-0.412731,0.1595012296160581,3.2417,4.1495999999999995,2.0747999999999998,0.2232,-2.312964634635743e-19,-0.256047,0.13056606379939992,
bifunctional_reagent_4,-7.2973,-2.5394,108.45,2.66,0.019127,0.003471,8.07,0.06,14.77,0.21,20.23,0.8,36.19,2.48,44.49,0.39,52.44,0.19,63.3,1.58,102.2,0.65,0.964478,-0.05037986666666667,-0.759249,0.38615093733648204,4.91835,4.757899999999999,2.3789499999999997,0.479011,-0.0451059,-0.465788,0.24679297980743098,
bifunctional_reagent_2,-6.6724,0.3251,49.31,0.03,0.007728,0.003628,7.77,0.02,8.81,0.01,14.42,0.0,19.42,0.02,22.28,0.01,23.3,0.01,30.86,0.05,33.52,0.05,0.997714,-0.062221033333333335,-0.720232,0.33624722665001483,3.17365,6.9975,3.49875,1.11482,-0.1014487,-0.543499,0.3434939783341237,
bifunctional_reagent_3,-5.8388,0.2356,36.81,0.08,0.005049,0.002818,7.45,0.25,12.1,0.06,17.96,0.03,20.23,0.2,25.27,0.02,27.17,0.04,27.41,0.02,32.05,0.03,1.095197,-0.093269,-0.723609,0.41287402868571477,2.8016,6.0744,3.0372,1.234908,-0.1397711,-0.572755,0.37411843653934623,
