index,SMILES,InChIKey,pSat_Pa,ChemPot_kJmol,FreeEnergy_kJmol,HeatOfVap_kJmol,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
30757,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)C(O)C(=O),BVMFBOCCPKBOLE-UHFFFAOYSA-N,0.000358066441,19.848770480000002,-2731023.5483805602,115.45735448,253.00699542400002,24,6,10,1,3,198.0,3.0,toluene,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0
30759,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)C(O)C(=O)C(=O),FYYXXDSHDCBTNN-UHFFFAOYSA-N,4.240701210000001e-06,15.92463872,-3028706.7942296,135.04742824000002,281.00191004400006,26,7,11,1,3,356.0,7.0,toluene,0,0,2,1,2,0,0,0,1,0,0,0,0,0,1,0
30763,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)OC(=O)C(=O)(OON(=O)(=O)),SRTSQAHYFYOROA-UHFFFAOYSA-N,0.005098876820000001,16.58382792,-3857727.9850259195,106.83731032,343.96116742799995,27,6,15,2,2,186.0,40.0,toluene,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0
30768,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)OC(OO)(C)C(=O),QDVYGLRSIWSQSA-UHFFFAOYSA-N,4.2125629e-05,12.8371396,-3229348.47938304,123.74782496000002,299.01247472800003,29,7,12,1,3,536.0,34.0,toluene,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
30769,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)OC(OO)C(=O),PNCMLQVMTYCEOF-UHFFFAOYSA-N,2.14729839e-05,17.56681688,-3126059.62373072,121.69507088000002,284.99682466400003,26,6,12,1,3,473.0,34.0,toluene,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
30770,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)OC(OO)C(=O)(OON(=O)(=O)),LPBXJXVJYPITPU-UHFFFAOYSA-N,0.00031672852400000003,18.523530320000003,-4058292.4393969597,119.39541896000001,361.9717321119999,30,6,16,2,3,444.0,40.0,toluene,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0
30773,C(=O)(OO)C(O)C(ON(=O)(=O))C(=O)OOC(=O)C(=O),MAZXRDNLSSJPDJ-UHFFFAOYSA-N,5.23502113e-06,22.30005056,-3123180.18568408,112.9033572,282.98117460000003,24,6,12,1,2,188.0,24.0,toluene,0,0,1,1,2,0,0,0,1,0,0,0,1,0,1,0
30778,C(=O)(OO)C(O)C(ON(=O)(=O))C(C)(C)C(=O)(OON(=O)(=O)),FPWWUHOMALAOBG-UHFFFAOYSA-N,0.00653154096,10.547194560000001,-3374526.4700904004,104.05131024,314.02337375999997,31,7,12,2,2,160.0,34.0,apin,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
30785,C(=O)(OO)C(O)C(ON(=O)(=O))C(O)(C)C(=O)(OON(=O)(=O)),OKKMJKHEKKQBCS-UHFFFAOYSA-N,0.000801680013,13.14081432,-3468862.66881248,113.64877863999999,316.002638316,29,6,13,2,3,295.0,33.0,toluene,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0
30788,C(=O)(OO)C(O)C(ON(=O)(=O))C(O)C(=O),QWJYGIMDLZZIIW-UHFFFAOYSA-N,7.898397790000002e-05,12.33623112,-2433344.97714736,117.46872880000001,225.01208080400002,22,5,9,1,3,169.0,19.0,toluene,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0
30789,C(=O)(OO)C(O)C(ON(=O)(=O))C(O)OC(=O)C(=O)(OO),XTDDVFNGNARXRN-UHFFFAOYSA-N,9.052379329999999e-09,14.113217760000001,-3323753.23047656,154.11985752,300.991739284,27,6,13,1,4,418.0,14.0,toluene,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0
30802,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)(C(=O))OC(=O)C(=O),BRWJLNPTANJLGL-UHFFFAOYSA-N,5.78412195e-07,19.27472568,-3423702.88539296,139.06080472000002,312.991739284,28,7,13,1,3,643.0,40.0,toluene,0,0,1,2,0,0,1,0,1,0,0,0,0,1,1,0
30806,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)(C(ON(=O)(=O)))OC(=O)C(=O),SXPFUWYZHYQOQU-UHFFFAOYSA-N,3.0725221e-06,18.60126904,-3964065.0447580805,134.77199552000002,359.9924675559999,32,7,15,2,3,735.0,40.0,toluene,0,0,1,1,0,0,1,0,2,0,0,0,0,1,1,0
30807,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)(C(OO))OC(=O),FCWDQYLOHOFJKR-UHFFFAOYSA-N,1.15637233e-06,12.548067040000001,-3326612.20642016,138.27433824,303.007389348,29,6,13,1,4,813.0,40.0,toluene,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0
30808,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)(C)C(=O),LSRXYAPJZPAFTL-UHFFFAOYSA-N,3.53106213e-05,10.244691360000001,-2733987.31875464,121.40403184,255.02264548800002,26,6,10,1,3,281.0,21.0,toluene,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
30812,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)(C)OC(=O)C(=O),GCUVNHNKUAZZKF-UHFFFAOYSA-N,5.27013633e-06,14.833074960000001,-3229323.96896712,131.00953352000002,299.01247472800003,29,7,12,1,3,456.0,40.0,toluene,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
30817,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)OC(=O)C(=O),CDZFWXFHVLLSNW-UHFFFAOYSA-N,2.0581490200000002e-05,17.21427304,-3126050.7940263203,123.08076984,284.99682466400003,26,6,12,1,3,405.0,40.0,toluene,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
30818,C(=O)(OO)C(O)C(ON(=O)(=O))C(OO)OC(=O)C(=O)(OON(=O)(=O)),RVUSBLKYUCQUMA-UHFFFAOYSA-N,3.3509121800000004e-05,16.583158479999998,-4058281.35564624,128.64783288,361.9717321119999,30,6,16,2,3,469.0,40.0,toluene,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0
30823,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O)(OON(=O)(=O)))OC1(=O),KMYAHTQWPSACRJ-UHFFFAOYSA-N,0.0143483074,16.941141520000002,-3660007.8309674403,100.75159864000001,327.9662528079999,26,6,14,2,2,155.0,37.0,toluene,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
30824,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O)(OON(=O)(=O)))OC1(O)C(=O),WZSDKVRSLSCLFA-UHFFFAOYSA-N,0.006098837970000001,14.693371200000001,-3960862.90282472,109.00399472,357.9768174919999,30,7,15,2,3,276.0,12.0,toluene,0,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0
30830,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O)(OON(=O)(=O)))OC1C(=O)(O),QQRRZOUNBRYNCV-UHFFFAOYSA-N,4.45386911e-06,15.168464400000001,-3960952.3869950403,135.07922664,357.9768174919999,30,7,15,2,3,220.0,26.0,toluene,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
30831,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O)(OON(=O)(=O)))OC1C(=O)(OO),DSYBZVJKEYCYAC-UHFFFAOYSA-N,5.02284102e-06,15.9715832,-4158304.3463339196,132.91279328000002,373.97173211199987,31,7,16,2,3,349.0,40.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0
30833,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O))OC1(O)C(=O),UVDBKWPAGHQTKR-UHFFFAOYSA-N,8.876715240000001e-06,12.87215968,-3028626.6987042404,121.70511248,281.00191004400006,26,7,11,1,3,178.0,2.0,toluene,0,0,2,2,0,0,0,1,1,0,0,0,0,0,1,0
30840,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O))OC1C(=O)(O),VRCWRJYVDBNUPV-UHFFFAOYSA-N,2.07285535e-05,16.10174744,-3028724.36125568,126.6367096,281.001910044,26,7,11,1,3,214.0,22.0,toluene,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0
30841,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(=O))OC1C(=O)(OON(=O)(=O)),QOGJZGCEMOCDFO-UHFFFAOYSA-N,0.00109673436,13.806154000000001,-3763248.3797456804,113.09598856000002,341.9819028719999,29,7,14,2,2,245.0,40.0,toluene,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0
30844,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(O))OC1C(=O),WJFJRFDYGDXUBV-UHFFFAOYSA-N,3.68337232e-06,10.25640656,-2834221.3411975205,129.2891564,267.022645488,27,7,10,1,3,437.0,35.0,toluene,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0
30845,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C(O))OC1C(=O)(OO),GPKCDMVNNPYTJG-UHFFFAOYSA-N,2.08925937e-06,12.4093256,-3229283.9710986405,131.35985984,299.012474728,29,7,12,1,4,369.0,9.0,toluene,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0
30857,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C)OC1(O)C(=O)(OON(=O)(=O)),BKDQHVLYPOMUGS-UHFFFAOYSA-N,2.07795109e-05,14.189115520000001,-3766471.48540184,128.36097784,343.9975529359999,31,7,14,2,3,232.0,14.0,toluene,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0
30860,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C)OC1(OO)C(=O),WXIAEZHENXFCJH-UHFFFAOYSA-N,1.3340928000000001e-05,14.45040632,-3031617.2283942406,125.87739728000001,283.01756010800005,28,7,11,1,3,265.0,29.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
30864,C(=O)(OO)C(O)C(ON(=O)(=O))C1(C)OC1C(=O)(OO),YZNKPANRCRYLCE-UHFFFAOYSA-N,2.78793016e-05,13.35796392,-3031683.4411565596,121.93468856000001,283.017560108,28,7,11,1,3,163.0,6.0,toluene,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0
30866,C(=O)(OO)C(O)C(ON(=O)(=O))C1(N(=O)(=O))OC1(O)C(=O),LIVVORHNIAPWFK-UHFFFAOYSA-N,1.60359336e-07,18.22182208,-3268189.91879792,136.88403688000002,297.992073632,26,6,12,2,3,102.0,1.0,toluene,0,0,2,1,0,0,0,1,1,1,0,0,0,0,1,0
30876,C(=O)(OO)C(O)C(ON(=O)(=O))C1(O)OC1(OO)C(=O),NGKZFJWXWDENBP-UHFFFAOYSA-N,3.59648349e-07,13.71184664,-3125964.0551875997,139.161932,284.99682466400003,26,6,12,1,4,251.0,6.0,toluene,0,0,2,1,0,0,0,1,1,0,0,0,0,1,1,0
30877,C(=O)(OO)C(O)C(ON(=O)(=O))C1(O)OC1C(=O),FYHJABYXTNTTRT-UHFFFAOYSA-N,7.28779102e-08,12.65693472,-2730968.88701464,143.6457156,253.00699542400002,24,6,10,1,3,124.0,2.0,toluene,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0
30878,C(=O)(OO)C(O)C(ON(=O)(=O))C1(O)OC1C(=O)(OO),AYAIPCIECXDMHR-UHFFFAOYSA-N,7.033586920000001e-07,14.986209360000002,-3126024.03458488,138.85850832,284.99682466400003,26,6,12,1,4,228.0,1.0,toluene,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0
30880,C(=O)(OO)C(O)C(ON(=O)(=O))C1(ON(=O)(=O))OC1(C)C(=O),MPGOTNZBLFCEMW-UHFFFAOYSA-N,0.00047162154100000004,12.98069264,-3371395.8770256,106.87090784000002,312.007723696,29,7,12,2,2,145.0,31.0,toluene,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0
30885,C(=O)(OO)C(O)C(ON(=O)(=O))C1(OO)OC1(C)C(=O),DVZBWUUGNZOHAX-UHFFFAOYSA-N,0.000129870011,15.54644696,-3031610.9979998404,111.85179248000001,283.01756010800005,28,7,11,1,3,248.0,27.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
30896,C(=O)(OO)C(O)C(ON(=O)(=O))C1OC1(C(=O)(OO))C(=O)(OON(=O)(=O)),SSNZVBGOJRODEU-UHFFFAOYSA-N,3.06913334e-06,16.19843968,-4158297.0939975195,134.14619464,373.9717321119999,31,7,16,2,3,337.0,31.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0
30899,C(=O)(OO)C(O)C(ON(=O)(=O))C1OC1(C(ON(=O)(=O)))C(=O),FHJYGLSUQOOYFG-UHFFFAOYSA-N,0.00016586774399999997,13.516453839999999,-3371390.0587970405,115.393674,312.00772369599997,29,7,12,2,2,122.0,15.0,toluene,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0
30904,C(=O)(OO)C(O)C(ON(=O)(=O))C1OC1(C)C(=O)(OON(=O)(=O)),FWFKIFXJUCBCAJ-UHFFFAOYSA-N,0.000382505044,14.56396008,-3568862.70477912,114.16349432,328.00263831599995,30,7,13,2,2,84.0,13.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
30914,C(=O)(OO)C(O)C(ON(=O)(=O))C1OC1(OO)C(=O),QJSGFVZDANMNNP-UHFFFAOYSA-N,4.36619315e-05,12.71605464,-2928334.54476952,120.70371392,269.00191004400006,25,6,11,1,3,178.0,13.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
30915,C(=O)(OO)C(O)C(ON(=O)(=O))C1OC1(OO)C(=O)(OO),OIWXLACYFKOCEU-UHFFFAOYSA-N,4.1485014600000004e-07,14.21442872,-3323391.30686168,137.0337404,300.991739284,27,6,13,1,4,278.0,18.0,toluene,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0
30929,C(=O)(OO)C(O)C(ON(=O)(=O))OOC(C(=O)(O))(C)C(=O),DYFRPMCYFPRWNX-UHFFFAOYSA-N,4.7240501799999996e-07,11.442570560000002,-3229367.71352392,142.11211224,299.01247472800003,29,7,12,1,3,563.0,18.0,toluene,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
30931,C(=O)(OO)C(O)C(OO)(C(=O)(N(=O)(=O)))OOC(=O),KTQJIKXVSKJVHQ-UHFFFAOYSA-N,1.8452805399999997e-05,20.06064824,-3022622.8916275203,120.34409912,270.98117460000003,23,5,12,1,3,451.0,28.0,toluene,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
30932,C(=O)(OO)C(O)C(OO)(C(=O)(O))C(=O),UNOWEAHXKFDFOA-UHFFFAOYSA-N,3.0391433600000002e-05,9.8014384,-2288043.06234312,121.77460872,210.001181772,20,5,9,0,4,266.0,2.0,toluene,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
30934,C(=O)(OO)C(O)C(OO)(C(=O)(O))C(ON(=O)(=O))OC(=O),WXAQPBSPVOYPRQ-UHFFFAOYSA-N,5.3168001500000005e-09,10.371257360000001,-3323741.4007604797,158.55029512000002,300.991739284,27,6,13,1,4,576.0,5.0,toluene,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
30941,C(=O)(OO)C(O)C(OO)(C(=O)(OON(=O)(=O)))C1OC1C(=O),VTOIMWJPIZZSEQ-UHFFFAOYSA-N,1.1854107800000001e-05,16.330235679999998,-3423444.86041416,126.85695536000001,312.991739284,28,7,13,1,3,298.0,12.0,toluene,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0
30942,C(=O)(OO)C(O)C(OO)(C(=O)(OON(=O)(=O)))OC(=O),IUGHAHLRHBUZSJ-UHFFFAOYSA-N,0.0004149416310000001,12.049543439999999,-3220224.8158039204,103.64943704000001,286.97608922,24,5,13,1,3,375.0,37.0,toluene,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
30946,C(=O)(OO)C(O)C(OO)(C(=O))C(ON(=O)(=O))OC(=O),GOCKFATVNYGOKJ-UHFFFAOYSA-N,2.3404218e-06,12.614090560000001,-3126036.2413212,130.276162,284.996824664,26,6,12,1,3,413.0,19.0,toluene,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
30954,C(=O)(OO)C(O)C(OO)(C(O))C(=O),HDSWAFPODYRWHT-UHFFFAOYSA-N,1.10692274e-09,5.787518,-2093541.3771901599,137.76137984,196.021917216,21,5,8,0,4,364.0,1.0,toluene,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0
30960,C(=O)(OO)C(O)C(OO)(C(ON(=O)(=O)))C(=O)OC(=O),FSQPHEVWHBUVEO-UHFFFAOYSA-N,1.9602959e-05,18.657041760000002,-3126083.50186056,124.36488128,284.996824664,26,6,12,1,3,398.0,22.0,toluene,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0
30962,C(=O)(OO)C(O)C(OO)(C(ON(=O)(=O)))C(O)OC(=O),COHDYQHTBOKHPI-UHFFFAOYSA-N,7.19407828e-06,17.237828959999998,-3129258.87581712,129.41275176000002,287.012474728,28,6,12,1,4,664.0,40.0,toluene,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0
30971,C(=O)(OO)C(O)C(OO)(C(OO))C(=O),WHDQPQVNOOOYLI-UHFFFAOYSA-N,6.83865978e-07,11.122369039999999,-2290928.40338616,132.59497664,212.016831836,22,5,9,0,4,481.0,8.0,toluene,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0
30972,C(=O)(OO)C(O)C(OO)(C(OO))C(ON(=O)(=O))OC(=O),BVIFMMJCMIQCJB-UHFFFAOYSA-N,7.92798786e-11,14.659229760000002,-3326609.66840576,150.10514216,303.007389348,29,6,13,1,4,724.0,7.0,toluene,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0
30973,C(=O)(OO)C(O)C(OO)(C(OO))C1OC1C(=O),TWTCFCQLGUIRRK-UHFFFAOYSA-N,6.70478738e-09,8.0491792,-2691794.0468568,149.76226336000002,254.02739652,27,7,10,0,4,522.0,7.0,toluene,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0
30975,C(=O)(OO)C(O)C(OO)(C)C(=O),OMSPQDTYZAZBBN-UHFFFAOYSA-N,0.000166704265,11.23224088,-1895954.52733816,110.46488016000002,180.027002596,20,5,7,0,3,108.0,6.0,toluene,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
30982,C(=O)(OO)C(O)C(OO)(C)C(=O)OC(=O)C(=O),HKBPIQXEXKEFRP-UHFFFAOYSA-N,5.4104304700000005e-06,15.977691839999999,-2688984.01417368,129.30760784,252.011746456,25,7,10,0,3,209.0,9.0,toluene,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0
30983,C(=O)(OO)C(O)C(OO)(C)C(C(=O))C(C)(C)C(=O),ZITQSPDPAMOOPM-UHFFFAOYSA-N,2.9178167299999997e-08,1.2762873600000002,-2606702.97189496,148.97600608000002,264.084517472,34,10,8,0,3,402.0,14.0,apin,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0
30993,C(=O)(OO)C(O)C(OO)(C)C(OO)OC(=O),YKPOOJHVMNUPNA-UHFFFAOYSA-N,6.956194429999999e-08,8.6167388,-2591872.30147976,141.35510112,242.02739652,26,6,10,0,4,508.0,10.0,toluene,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
30996,C(=O)(OO)C(O)C(OO)(C)C1(O)OC1(N(=O)(=O))C(=O),STIYBMZXBAXWPU-UHFFFAOYSA-N,2.26804369e-06,16.68462048,-3031695.4806584003,114.7164936,283.017560108,28,7,11,1,4,419.0,28.0,toluene,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,0
30998,C(=O)(OO)C(O)C(OO)(C)C1(O)OC1(ON(=O)(=O))C(=O),VVEXRCWQIMTKOL-UHFFFAOYSA-N,1.81318607e-08,9.96653904,-3229203.09693088,150.55170048,299.012474728,29,7,12,1,4,542.0,2.0,toluene,0,0,2,1,0,0,0,1,1,0,0,0,0,1,1,0
31001,C(=O)(OO)C(O)C(OO)(C)C1(OO)OC1(ON(=O)(=O))C(=O),WBQBAGZAADXZSP-UHFFFAOYSA-N,1.48306724e-06,12.9047112,-3426576.6129490403,138.31701504,315.00738934799995,30,7,13,1,4,421.0,9.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0
31002,C(=O)(OO)C(O)C(OO)(C)C1(OO)OC1C(=O),ZGZPSHZBYAHJCZ-UHFFFAOYSA-N,8.18378693e-06,14.430532320000001,-2691809.0448232,132.00440504,254.02739652,27,7,10,0,4,400.0,2.0,toluene,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0
31003,C(=O)(OO)C(O)C(OO)(C)C1OC1(O)C(=O),YKFXQFKQFBFOQO-UHFFFAOYSA-N,2.0471896200000002e-09,10.571921999999999,-2494444.8071597596,156.76201168,238.0324819,26,7,9,0,4,207.0,2.0,toluene,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0
31005,C(=O)(OO)C(O)C(OO)(C)C1OC1(ON(=O)(=O))C(=O),WLWIMDAKQHMDJV-UHFFFAOYSA-N,2.3238446100000002e-05,12.48438656,-3031590.38376656,127.1626384,283.017560108,28,7,11,1,3,212.0,4.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
31010,C(=O)(OO)C(O)C(OO)(C)OC(=O),BNTIWQWAQXEQEK-UHFFFAOYSA-N,0.00237557588,11.143121680000002,-2093618.2496966403,91.0076484,196.021917216,21,5,8,0,3,175.0,14.0,toluene,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
31011,C(=O)(OO)C(O)C(OO)(C)OC(=O)C(=O),QJWSVEMLWHFZOO-UHFFFAOYSA-N,0.00518940426,11.2635372,-2391278.06196584,93.70557528,224.016831836,23,6,9,0,3,205.0,14.0,toluene,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
31013,C(=O)(OO)C(O)C(OO)(C)OOC(=O),NJAQTKARDQDUHY-UHFFFAOYSA-N,5.48642962e-05,13.996065760000002,-2291003.6266435203,114.96431192,212.016831836,22,5,9,0,3,289.0,8.0,toluene,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
31019,C(=O)(OO)C(O)C(OO)(C1(O))OOC1(C)C(=O),ZBYFRDPBSQVMRA-UHFFFAOYSA-N,1.6115717799999999e-06,5.55379976,-2691925.04722736,135.42013896000003,254.02739652,27,7,10,0,4,256.0,7.0,toluene,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0
31025,C(=O)(OO)C(O)C(OO)C(=O)C(=O)(OON(=O)(=O)),NCZHNCWUDYUAQE-UHFFFAOYSA-N,0.020939188600000002,15.506657120000002,-3022577.54920112,87.2882816,270.98117460000003,23,5,12,1,3,275.0,16.0,toluene,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
31026,C(=O)(OO)C(O)C(OO)C(=O)C(=O)C(=O),KBRMCWAKHAJSNT-UHFFFAOYSA-N,0.0035625179,15.242019120000002,-2388015.9998388,92.7797816,222.001181772,21,6,9,0,3,293.0,22.0,toluene,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0
31031,C(=O)(OO)C(O)C(OO)C(=O)OC(=O),PVGSONKOOUCFNP-UHFFFAOYSA-N,9.30535659e-06,18.745282320000005,-2288051.34708152,120.37401472,210.001181772,20,5,9,0,3,146.0,7.0,toluene,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0
31039,C(=O)(OO)C(O)C(OO)C(O)(O)C(=O)C(=O),NJALWDKEKVVKBW-UHFFFAOYSA-N,2.25850789e-10,7.44136952,-2588845.77997576,164.31831568,240.011746456,24,6,10,0,5,645.0,1.0,toluene,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0
31042,C(=O)(OO)C(O)C(OO)C(ON(=O)(=O))(C(=O))OC(=O),GRYPYZORUVBRQL-UHFFFAOYSA-N,3.52014208e-05,13.21081264,-3126023.0490018404,109.74548320000001,284.996824664,26,6,12,1,3,465.0,27.0,toluene,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
31043,C(=O)(OO)C(O)C(OO)C(ON(=O)(=O))(C(O))OC(=O),ZBADFTRGJNDTQM-UHFFFAOYSA-N,5.4267661200000005e-05,11.202618160000002,-3129220.69865808,126.87444448000001,287.012474728,28,6,12,1,4,763.0,14.0,toluene,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0
31048,C(=O)(OO)C(O)C(OO)C(ON(=O)(=O))(C)OC(=O),ABYJGGFSOWOLTJ-UHFFFAOYSA-N,4.5661925100000006e-06,10.0577084,-2931629.94120112,132.28799656,271.017560108,27,6,11,1,3,331.0,14.0,toluene,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
31051,C(=O)(OO)C(O)C(OO)C(OO)(C(ON(=O)(=O)))OC(=O),NOZLWCYTARSPLI-UHFFFAOYSA-N,5.672777559999999e-07,12.841490960000002,-3326615.2279794402,140.96230720000003,303.007389348,29,6,13,1,4,817.0,19.0,toluene,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0
31053,C(=O)(OO)C(O)C(OO)C(OO)OC(=O),SEADDLMDQUSNAI-UHFFFAOYSA-N,3.98704952e-08,10.645769600000001,-2488597.5167868,146.15456752,228.011746456,23,5,10,0,4,502.0,9.0,toluene,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
31060,C(=O)(OO)C(O)C(OO)C1(C(=O))OC1(O)C(=O),CRIVAZSZTMDLEX-UHFFFAOYSA-N,1.36921316e-05,8.620629919999999,-2688847.3766580797,121.2466716,252.011746456,25,7,10,0,4,260.0,6.0,toluene,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0
31061,C(=O)(OO)C(O)C(OO)C1(C(=O))OC1(ON(=O)(=O)),JSTKQWJSCNSRJA-UHFFFAOYSA-N,0.00040418302000000004,9.02212656,-2928329.54660496,107.84577984,269.001910044,25,6,11,1,3,215.0,15.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
31064,C(=O)(OO)C(O)C(OO)C1(C(=O))OC1C(=O),CPADPDWSKHFTLW-UHFFFAOYSA-N,6.34926365e-08,10.888860000000001,-2491231.38407456,144.18005424,236.016831836,24,7,9,0,3,212.0,14.0,toluene,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0
31065,C(=O)(OO)C(O)C(OO)C1(C(=O))OC1C(=O)(O),XJYOAGFDANSINM-UHFFFAOYSA-N,1.97655768e-08,9.61307472,-2688936.7087818403,133.71766936000003,252.011746456,25,7,10,0,4,310.0,13.0,toluene,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0
31068,C(=O)(OO)C(O)C(OO)C1(C(O))OC1C(=O),HACHKFRTSOILQO-UHFFFAOYSA-N,2.94257053e-09,5.36560344,-2494432.9471515203,153.83086863999998,238.0324819,26,7,9,0,4,310.0,8.0,toluene,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0
